
/bin/ar:     file format elf64-x86-64


Disassembly of section .init:

0000000000002000 <.init>:
    2000:	f3 0f 1e fa          	endbr64 
    5951:	31 ff                	xor    %edi,%edi
    5953:	ba 05 00 00 00       	mov    $0x5,%edx
    5958:	48 8d 35 11 69 00 00 	lea    0x6911(%rip),%rsi        # c270 <bfd_seek@plt+0x9640>
    595f:	e8 6c ce ff ff       	callq  27d0 <dcgettext@plt>
    5964:	48 89 ef             	mov    %rbp,%rdi
    5967:	be 01 00 00 00       	mov    $0x1,%esi
    596c:	48 89 c2             	mov    %rax,%rdx
    596f:	31 c0                	xor    %eax,%eax
    5971:	e8 4a d2 ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5976:	31 ff                	xor    %edi,%edi
    5978:	ba 05 00 00 00       	mov    $0x5,%edx
    597d:	48 8d 35 1c 69 00 00 	lea    0x691c(%rip),%rsi        # c2a0 <bfd_seek@plt+0x9670>
    5984:	e8 47 ce ff ff       	callq  27d0 <dcgettext@plt>
    5989:	48 89 ef             	mov    %rbp,%rdi
    598c:	be 01 00 00 00       	mov    $0x1,%esi
    5991:	48 89 c2             	mov    %rax,%rdx
    5994:	31 c0                	xor    %eax,%eax
    5996:	e8 25 d2 ff ff       	callq  2bc0 <__fprintf_chk@plt>
    599b:	31 ff                	xor    %edi,%edi
    599d:	ba 05 00 00 00       	mov    $0x5,%edx
    59a2:	48 8d 35 47 69 00 00 	lea    0x6947(%rip),%rsi        # c2f0 <bfd_seek@plt+0x96c0>
    59a9:	e8 22 ce ff ff       	callq  27d0 <dcgettext@plt>
    59ae:	48 89 ef             	mov    %rbp,%rdi
    59b1:	be 01 00 00 00       	mov    $0x1,%esi
    59b6:	48 89 c2             	mov    %rax,%rdx
    59b9:	31 c0                	xor    %eax,%eax
    59bb:	e8 00 d2 ff ff       	callq  2bc0 <__fprintf_chk@plt>
    59c0:	31 ff                	xor    %edi,%edi
    59c2:	ba 05 00 00 00       	mov    $0x5,%edx
    59c7:	48 8d 35 62 69 00 00 	lea    0x6962(%rip),%rsi        # c330 <bfd_seek@plt+0x9700>
    59ce:	e8 fd cd ff ff       	callq  27d0 <dcgettext@plt>
    59d3:	48 89 ef             	mov    %rbp,%rdi
    59d6:	be 01 00 00 00       	mov    $0x1,%esi
    59db:	48 89 c2             	mov    %rax,%rdx
    59de:	31 c0                	xor    %eax,%eax
    59e0:	e8 db d1 ff ff       	callq  2bc0 <__fprintf_chk@plt>
    59e5:	31 ff                	xor    %edi,%edi
    59e7:	ba 05 00 00 00       	mov    $0x5,%edx
    59ec:	48 8d 35 cd 69 00 00 	lea    0x69cd(%rip),%rsi        # c3c0 <bfd_seek@plt+0x9790>
    59f3:	e8 d8 cd ff ff       	callq  27d0 <dcgettext@plt>
    59f8:	48 89 ef             	mov    %rbp,%rdi
    59fb:	be 01 00 00 00       	mov    $0x1,%esi
    5a00:	48 89 c2             	mov    %rax,%rdx
    5a03:	31 c0                	xor    %eax,%eax
    5a05:	e8 b6 d1 ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5a0a:	48 8b 3d 9f b9 00 00 	mov    0xb99f(%rip),%rdi        # 113b0 <stderr@@GLIBC_2.2.5+0x250>
    5a11:	48 89 ee             	mov    %rbp,%rsi
    5a14:	e8 77 2c 00 00       	callq  8690 <bfd_seek@plt+0x5a60>
    5a19:	e9 fa fe ff ff       	jmpq   5918 <bfd_seek@plt+0x2ce8>
    5a1e:	66 90                	xchg   %ax,%ax
    5a20:	41 57                	push   %r15
    5a22:	41 56                	push   %r14
    5a24:	41 55                	push   %r13
    5a26:	41 54                	push   %r12
    5a28:	49 89 fc             	mov    %rdi,%r12
    5a2b:	55                   	push   %rbp
    5a2c:	4c 8b bf d8 00 00 00 	mov    0xd8(%rdi),%r15
    5a33:	48 8b 3f             	mov    (%rdi),%rdi
    5a36:	e8 a5 cd ff ff       	callq  27e0 <strlen@plt>
    5a3b:	48 8d 78 01          	lea    0x1(%rax),%rdi
    5a3f:	e8 5c ce ff ff       	callq  28a0 <xmalloc@plt>
    5a44:	49 8b 34 24          	mov    (%r12),%rsi
    5a48:	49 89 c6             	mov    %rax,%r14
    5a4b:	48 89 c7             	mov    %rax,%rdi
    5a4e:	e8 8d cc ff ff       	callq  26e0 <strcpy@plt>
    5a53:	4c 89 f7             	mov    %r14,%rdi
    5a56:	e8 35 33 00 00       	callq  8d90 <bfd_seek@plt+0x6160>
    5a5b:	48 85 c0             	test   %rax,%rax
    5a5e:	0f 84 0e 01 00 00    	je     5b72 <bfd_seek@plt+0x2f42>
    5a64:	48 89 05 9d b7 00 00 	mov    %rax,0xb79d(%rip)        # 11208 <stderr@@GLIBC_2.2.5+0xa8>
    5a6b:	49 89 c5             	mov    %rax,%r13
    5a6e:	49 8b 44 24 08       	mov    0x8(%r12),%rax
    5a73:	4c 89 ef             	mov    %r13,%rdi
    5a76:	48 8b 30             	mov    (%rax),%rsi
    5a79:	e8 42 d0 ff ff       	callq  2ac0 <bfd_openw@plt>
    5a7e:	48 89 c5             	mov    %rax,%rbp
    5a81:	48 85 c0             	test   %rax,%rax
    5a84:	0f 84 e0 00 00 00    	je     5b6a <bfd_seek@plt+0x2f3a>
    5a8a:	be 02 00 00 00       	mov    $0x2,%esi
    5a8f:	48 89 c7             	mov    %rax,%rdi
    5a92:	48 89 05 5f b7 00 00 	mov    %rax,0xb75f(%rip)        # 111f8 <stderr@@GLIBC_2.2.5+0x98>
    5a99:	e8 f2 ce ff ff       	callq  2990 <bfd_set_format@plt>
    5a9e:	8b 05 3c b7 00 00    	mov    0xb73c(%rip),%eax        # 111e0 <stderr@@GLIBC_2.2.5+0x80>
    5aa4:	0f b6 55 4c          	movzbl 0x4c(%rbp),%edx
    5aa8:	8b 35 82 b7 00 00    	mov    0xb782(%rip),%esi        # 11230 <stderr@@GLIBC_2.2.5+0xd0>
    5aae:	f7 d0                	not    %eax
    5ab0:	83 e2 bf             	and    $0xffffffbf,%edx
    5ab3:	c1 e8 1f             	shr    $0x1f,%eax
    5ab6:	c1 e0 06             	shl    $0x6,%eax
    5ab9:	09 d0                	or     %edx,%eax
    5abb:	88 45 4c             	mov    %al,0x4c(%rbp)
    5abe:	85 f6                	test   %esi,%esi
    5ac0:	74 07                	je     5ac9 <bfd_seek@plt+0x2e99>
    5ac2:	81 4d 48 00 04 00 00 	orl    $0x400,0x48(%rbp)
    5ac9:	8b 0d 45 b5 00 00    	mov    0xb545(%rip),%ecx        # 11014 <bfd_seek@plt+0xe3e4>
    5acf:	85 c9                	test   %ecx,%ecx
    5ad1:	74 07                	je     5ada <bfd_seek@plt+0x2eaa>
    5ad3:	81 4d 48 00 20 00 00 	orl    $0x2000,0x48(%rbp)
    5ada:	8b 15 4c b7 00 00    	mov    0xb74c(%rip),%edx        # 1122c <stderr@@GLIBC_2.2.5+0xcc>
    5ae0:	85 d2                	test   %edx,%edx
    5ae2:	74 07                	je     5aeb <bfd_seek@plt+0x2ebb>
    5ae4:	81 4d 48 00 00 10 00 	orl    $0x100000,0x48(%rbp)
    5aeb:	8b 05 37 b7 00 00    	mov    0xb737(%rip),%eax        # 11228 <stderr@@GLIBC_2.2.5+0xc8>
    5af1:	85 c0                	test   %eax,%eax
    5af3:	74 6b                	je     5b60 <bfd_seek@plt+0x2f30>
    5af5:	80 4d 4c 80          	orb    $0x80,0x4c(%rbp)
    5af9:	4c 89 fe             	mov    %r15,%rsi
    5afc:	48 89 ef             	mov    %rbp,%rdi
    5aff:	e8 4c cc ff ff       	callq  2750 <bfd_set_archive_head@plt>
    5b04:	85 c0                	test   %eax,%eax
    5b06:	74 62                	je     5b6a <bfd_seek@plt+0x2f3a>
    5b08:	48 89 ef             	mov    %rbp,%rdi
    5b0b:	e8 40 d0 ff ff       	callq  2b50 <bfd_close@plt>
    5b10:	85 c0                	test   %eax,%eax
    5b12:	74 56                	je     5b6a <bfd_seek@plt+0x2f3a>
    5b14:	48 c7 05 d9 b6 00 00 	movq   $0x0,0xb6d9(%rip)        # 111f8 <stderr@@GLIBC_2.2.5+0x98>
    5b1b:	00 00 00 00 
    5b1f:	4c 89 e7             	mov    %r12,%rdi
    5b22:	48 c7 05 db b6 00 00 	movq   $0x0,0xb6db(%rip)        # 11208 <stderr@@GLIBC_2.2.5+0xa8>
    5b29:	00 00 00 00 
    5b2d:	e8 1e d0 ff ff       	callq  2b50 <bfd_close@plt>
    5b32:	31 d2                	xor    %edx,%edx
    5b34:	4c 89 f6             	mov    %r14,%rsi
    5b37:	4c 89 ef             	mov    %r13,%rdi
    5b3a:	e8 a1 20 00 00       	callq  7be0 <bfd_seek@plt+0x4fb0>
    5b3f:	85 c0                	test   %eax,%eax
    5b41:	75 4a                	jne    5b8d <bfd_seek@plt+0x2f5d>
    5b43:	4c 89 f7             	mov    %r14,%rdi
    5b46:	e8 25 cb ff ff       	callq  2670 <free@plt>
    5b4b:	5d                   	pop    %rbp
    5b4c:	4c 89 ef             	mov    %r13,%rdi
    5b4f:	41 5c                	pop    %r12
    5b51:	41 5d                	pop    %r13
    5b53:	41 5e                	pop    %r14
    5b55:	41 5f                	pop    %r15
    5b57:	e9 14 cb ff ff       	jmpq   2670 <free@plt>
    5b5c:	0f 1f 40 00          	nopl   0x0(%rax)
    5b60:	41 80 7c 24 4c 00    	cmpb   $0x0,0x4c(%r12)
    5b66:	79 91                	jns    5af9 <bfd_seek@plt+0x2ec9>
    5b68:	eb 8b                	jmp    5af5 <bfd_seek@plt+0x2ec5>
    5b6a:	4c 89 f7             	mov    %r14,%rdi
    5b6d:	e8 2e 28 00 00       	callq  83a0 <bfd_seek@plt+0x5770>
    5b72:	31 ff                	xor    %edi,%edi
    5b74:	ba 05 00 00 00       	mov    $0x5,%edx
    5b79:	48 8d 35 28 69 00 00 	lea    0x6928(%rip),%rsi        # c4a8 <bfd_seek@plt+0x9878>
    5b80:	e8 4b cc ff ff       	callq  27d0 <dcgettext@plt>
    5b85:	48 89 c7             	mov    %rax,%rdi
    5b88:	e8 13 28 00 00       	callq  83a0 <bfd_seek@plt+0x5770>
    5b8d:	bf 01 00 00 00       	mov    $0x1,%edi
    5b92:	e8 a9 cf ff ff       	callq  2b40 <xexit@plt>
    5b97:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
    5b9e:	00 00 
    5ba0:	41 54                	push   %r12
    5ba2:	ba 05 00 00 00       	mov    $0x5,%edx
    5ba7:	48 8d 35 32 69 00 00 	lea    0x6932(%rip),%rsi        # c4e0 <bfd_seek@plt+0x98b0>
    5bae:	55                   	push   %rbp
    5baf:	53                   	push   %rbx
    5bb0:	89 fb                	mov    %edi,%ebx
    5bb2:	31 ff                	xor    %edi,%edi
    5bb4:	e8 17 cc ff ff       	callq  27d0 <dcgettext@plt>
    5bb9:	85 db                	test   %ebx,%ebx
    5bbb:	be 01 00 00 00       	mov    $0x1,%esi
    5bc0:	48 8b 2d 59 b5 00 00 	mov    0xb559(%rip),%rbp        # 11120 <stdout@@GLIBC_2.2.5>
    5bc7:	48 0f 44 2d 91 b5 00 	cmove  0xb591(%rip),%rbp        # 11160 <stderr@@GLIBC_2.2.5>
    5bce:	00 
    5bcf:	48 8b 0d da b7 00 00 	mov    0xb7da(%rip),%rcx        # 113b0 <stderr@@GLIBC_2.2.5+0x250>
    5bd6:	48 89 c2             	mov    %rax,%rdx
    5bd9:	31 c0                	xor    %eax,%eax
    5bdb:	48 89 ef             	mov    %rbp,%rdi
    5bde:	e8 dd cf ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5be3:	31 ff                	xor    %edi,%edi
    5be5:	4c 8b 25 c4 b7 00 00 	mov    0xb7c4(%rip),%r12        # 113b0 <stderr@@GLIBC_2.2.5+0x250>
    5bec:	ba 05 00 00 00       	mov    $0x5,%edx
    5bf1:	48 8d 35 a1 64 00 00 	lea    0x64a1(%rip),%rsi        # c099 <bfd_seek@plt+0x9469>
    5bf8:	e8 d3 cb ff ff       	callq  27d0 <dcgettext@plt>
    5bfd:	4c 89 e1             	mov    %r12,%rcx
    5c00:	be 01 00 00 00       	mov    $0x1,%esi
    5c05:	48 89 ef             	mov    %rbp,%rdi
    5c08:	48 89 c2             	mov    %rax,%rdx
    5c0b:	31 c0                	xor    %eax,%eax
    5c0d:	e8 ae cf ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5c12:	31 ff                	xor    %edi,%edi
    5c14:	ba 05 00 00 00       	mov    $0x5,%edx
    5c19:	48 8d 35 95 64 00 00 	lea    0x6495(%rip),%rsi        # c0b5 <bfd_seek@plt+0x9485>
    5c20:	e8 ab cb ff ff       	callq  27d0 <dcgettext@plt>
    5c25:	be 01 00 00 00       	mov    $0x1,%esi
    5c2a:	48 89 ef             	mov    %rbp,%rdi
    5c2d:	48 89 c2             	mov    %rax,%rdx
    5c30:	31 c0                	xor    %eax,%eax
    5c32:	e8 89 cf ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5c37:	31 ff                	xor    %edi,%edi
    5c39:	ba 05 00 00 00       	mov    $0x5,%edx
    5c3e:	48 8d 35 1b 69 00 00 	lea    0x691b(%rip),%rsi        # c560 <bfd_seek@plt+0x9930>
    5c45:	e8 86 cb ff ff       	callq  27d0 <dcgettext@plt>
    5c4a:	be 01 00 00 00       	mov    $0x1,%esi
    5c4f:	48 89 ef             	mov    %rbp,%rdi
    5c52:	48 89 c2             	mov    %rax,%rdx
    5c55:	31 c0                	xor    %eax,%eax
    5c57:	e8 64 cf ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5c5c:	31 ff                	xor    %edi,%edi
    5c5e:	ba 05 00 00 00       	mov    $0x5,%edx
    5c63:	48 8d 35 2e 69 00 00 	lea    0x692e(%rip),%rsi        # c598 <bfd_seek@plt+0x9968>
    5c6a:	e8 61 cb ff ff       	callq  27d0 <dcgettext@plt>
    5c6f:	be 01 00 00 00       	mov    $0x1,%esi
    5c74:	48 89 ef             	mov    %rbp,%rdi
    5c77:	48 89 c2             	mov    %rax,%rdx
    5c7a:	31 c0                	xor    %eax,%eax
    5c7c:	e8 3f cf ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5c81:	31 ff                	xor    %edi,%edi
    5c83:	ba 05 00 00 00       	mov    $0x5,%edx
    5c88:	48 8d 35 39 69 00 00 	lea    0x6939(%rip),%rsi        # c5c8 <bfd_seek@plt+0x9998>
    5c8f:	e8 3c cb ff ff       	callq  27d0 <dcgettext@plt>
    5c94:	be 01 00 00 00       	mov    $0x1,%esi
    5c99:	48 89 ef             	mov    %rbp,%rdi
    5c9c:	48 89 c2             	mov    %rax,%rdx
    5c9f:	31 c0                	xor    %eax,%eax
    5ca1:	e8 1a cf ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5ca6:	31 ff                	xor    %edi,%edi
    5ca8:	ba 05 00 00 00       	mov    $0x5,%edx
    5cad:	48 8d 35 4c 69 00 00 	lea    0x694c(%rip),%rsi        # c600 <bfd_seek@plt+0x99d0>
    5cb4:	e8 17 cb ff ff       	callq  27d0 <dcgettext@plt>
    5cb9:	be 01 00 00 00       	mov    $0x1,%esi
    5cbe:	48 89 ef             	mov    %rbp,%rdi
    5cc1:	48 89 c2             	mov    %rax,%rdx
    5cc4:	31 c0                	xor    %eax,%eax
    5cc6:	e8 f5 ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5ccb:	31 ff                	xor    %edi,%edi
    5ccd:	ba 05 00 00 00       	mov    $0x5,%edx
    5cd2:	48 8d 35 5f 69 00 00 	lea    0x695f(%rip),%rsi        # c638 <bfd_seek@plt+0x9a08>
    5cd9:	e8 f2 ca ff ff       	callq  27d0 <dcgettext@plt>
    5cde:	be 01 00 00 00       	mov    $0x1,%esi
    5ce3:	48 89 ef             	mov    %rbp,%rdi
    5ce6:	48 89 c2             	mov    %rax,%rdx
    5ce9:	31 c0                	xor    %eax,%eax
    5ceb:	e8 d0 ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5cf0:	31 ff                	xor    %edi,%edi
    5cf2:	ba 05 00 00 00       	mov    $0x5,%edx
    5cf7:	48 8d 35 8a 69 00 00 	lea    0x698a(%rip),%rsi        # c688 <bfd_seek@plt+0x9a58>
    5cfe:	e8 cd ca ff ff       	callq  27d0 <dcgettext@plt>
    5d03:	be 01 00 00 00       	mov    $0x1,%esi
    5d08:	48 89 ef             	mov    %rbp,%rdi
    5d0b:	48 89 c2             	mov    %rax,%rdx
    5d0e:	31 c0                	xor    %eax,%eax
    5d10:	e8 ab ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5d15:	31 ff                	xor    %edi,%edi
    5d17:	ba 05 00 00 00       	mov    $0x5,%edx
    5d1c:	48 8d 35 85 69 00 00 	lea    0x6985(%rip),%rsi        # c6a8 <bfd_seek@plt+0x9a78>
    5d23:	e8 a8 ca ff ff       	callq  27d0 <dcgettext@plt>
    5d28:	be 01 00 00 00       	mov    $0x1,%esi
    5d2d:	48 89 ef             	mov    %rbp,%rdi
    5d30:	48 89 c2             	mov    %rax,%rdx
    5d33:	31 c0                	xor    %eax,%eax
    5d35:	e8 86 ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5d3a:	31 ff                	xor    %edi,%edi
    5d3c:	ba 05 00 00 00       	mov    $0x5,%edx
    5d41:	48 8d 35 98 69 00 00 	lea    0x6998(%rip),%rsi        # c6e0 <bfd_seek@plt+0x9ab0>
    5d48:	e8 83 ca ff ff       	callq  27d0 <dcgettext@plt>
    5d4d:	be 01 00 00 00       	mov    $0x1,%esi
    5d52:	48 89 ef             	mov    %rbp,%rdi
    5d55:	48 89 c2             	mov    %rax,%rdx
    5d58:	31 c0                	xor    %eax,%eax
    5d5a:	e8 61 ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5d5f:	31 ff                	xor    %edi,%edi
    5d61:	ba 05 00 00 00       	mov    $0x5,%edx
    5d66:	48 8d 35 54 63 00 00 	lea    0x6354(%rip),%rsi        # c0c1 <bfd_seek@plt+0x9491>
    5d6d:	e8 5e ca ff ff       	callq  27d0 <dcgettext@plt>
    5d72:	be 01 00 00 00       	mov    $0x1,%esi
    5d77:	48 89 ef             	mov    %rbp,%rdi
    5d7a:	48 89 c2             	mov    %rax,%rdx
    5d7d:	31 c0                	xor    %eax,%eax
    5d7f:	e8 3c ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5d84:	31 ff                	xor    %edi,%edi
    5d86:	ba 05 00 00 00       	mov    $0x5,%edx
    5d8b:	48 8d 35 86 69 00 00 	lea    0x6986(%rip),%rsi        # c718 <bfd_seek@plt+0x9ae8>
    5d92:	e8 39 ca ff ff       	callq  27d0 <dcgettext@plt>
    5d97:	be 01 00 00 00       	mov    $0x1,%esi
    5d9c:	48 89 ef             	mov    %rbp,%rdi
    5d9f:	48 89 c2             	mov    %rax,%rdx
    5da2:	31 c0                	xor    %eax,%eax
    5da4:	e8 17 ce ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5da9:	31 ff                	xor    %edi,%edi
    5dab:	ba 05 00 00 00       	mov    $0x5,%edx
    5db0:	48 8d 35 99 69 00 00 	lea    0x6999(%rip),%rsi        # c750 <bfd_seek@plt+0x9b20>
    5db7:	e8 14 ca ff ff       	callq  27d0 <dcgettext@plt>
    5dbc:	be 01 00 00 00       	mov    $0x1,%esi
    5dc1:	48 89 ef             	mov    %rbp,%rdi
    5dc4:	48 89 c2             	mov    %rax,%rdx
    5dc7:	31 c0                	xor    %eax,%eax
    5dc9:	e8 f2 cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5dce:	31 ff                	xor    %edi,%edi
    5dd0:	ba 05 00 00 00       	mov    $0x5,%edx
    5dd5:	48 8d 35 bc 69 00 00 	lea    0x69bc(%rip),%rsi        # c798 <bfd_seek@plt+0x9b68>
    5ddc:	e8 ef c9 ff ff       	callq  27d0 <dcgettext@plt>
    5de1:	be 01 00 00 00       	mov    $0x1,%esi
    5de6:	48 89 ef             	mov    %rbp,%rdi
    5de9:	48 89 c2             	mov    %rax,%rdx
    5dec:	31 c0                	xor    %eax,%eax
    5dee:	e8 cd cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5df3:	31 ff                	xor    %edi,%edi
    5df5:	ba 05 00 00 00       	mov    $0x5,%edx
    5dfa:	48 8d 35 df 69 00 00 	lea    0x69df(%rip),%rsi        # c7e0 <bfd_seek@plt+0x9bb0>
    5e01:	e8 ca c9 ff ff       	callq  27d0 <dcgettext@plt>
    5e06:	be 01 00 00 00       	mov    $0x1,%esi
    5e0b:	48 89 ef             	mov    %rbp,%rdi
    5e0e:	48 89 c2             	mov    %rax,%rdx
    5e11:	31 c0                	xor    %eax,%eax
    5e13:	e8 a8 cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5e18:	31 ff                	xor    %edi,%edi
    5e1a:	ba 05 00 00 00       	mov    $0x5,%edx
    5e1f:	48 8d 35 f2 69 00 00 	lea    0x69f2(%rip),%rsi        # c818 <bfd_seek@plt+0x9be8>
    5e26:	e8 a5 c9 ff ff       	callq  27d0 <dcgettext@plt>
    5e2b:	be 01 00 00 00       	mov    $0x1,%esi
    5e30:	48 89 ef             	mov    %rbp,%rdi
    5e33:	48 89 c2             	mov    %rax,%rdx
    5e36:	31 c0                	xor    %eax,%eax
    5e38:	e8 83 cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5e3d:	31 ff                	xor    %edi,%edi
    5e3f:	ba 05 00 00 00       	mov    $0x5,%edx
    5e44:	48 8d 35 fd 69 00 00 	lea    0x69fd(%rip),%rsi        # c848 <bfd_seek@plt+0x9c18>
    5e4b:	e8 80 c9 ff ff       	callq  27d0 <dcgettext@plt>
    5e50:	be 01 00 00 00       	mov    $0x1,%esi
    5e55:	48 89 ef             	mov    %rbp,%rdi
    5e58:	48 89 c2             	mov    %rax,%rdx
    5e5b:	31 c0                	xor    %eax,%eax
    5e5d:	e8 5e cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5e62:	31 ff                	xor    %edi,%edi
    5e64:	ba 05 00 00 00       	mov    $0x5,%edx
    5e69:	48 8d 35 08 6a 00 00 	lea    0x6a08(%rip),%rsi        # c878 <bfd_seek@plt+0x9c48>
    5e70:	e8 5b c9 ff ff       	callq  27d0 <dcgettext@plt>
    5e75:	be 01 00 00 00       	mov    $0x1,%esi
    5e7a:	48 89 ef             	mov    %rbp,%rdi
    5e7d:	48 89 c2             	mov    %rax,%rdx
    5e80:	31 c0                	xor    %eax,%eax
    5e82:	e8 39 cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5e87:	31 ff                	xor    %edi,%edi
    5e89:	ba 05 00 00 00       	mov    $0x5,%edx
    5e8e:	48 8d 35 1b 6a 00 00 	lea    0x6a1b(%rip),%rsi        # c8b0 <bfd_seek@plt+0x9c80>
    5e95:	e8 36 c9 ff ff       	callq  27d0 <dcgettext@plt>
    5e9a:	be 01 00 00 00       	mov    $0x1,%esi
    5e9f:	48 89 ef             	mov    %rbp,%rdi
    5ea2:	48 89 c2             	mov    %rax,%rdx
    5ea5:	31 c0                	xor    %eax,%eax
    5ea7:	e8 14 cd ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5eac:	31 ff                	xor    %edi,%edi
    5eae:	ba 05 00 00 00       	mov    $0x5,%edx
    5eb3:	48 8d 35 26 6a 00 00 	lea    0x6a26(%rip),%rsi        # c8e0 <bfd_seek@plt+0x9cb0>
    5eba:	e8 11 c9 ff ff       	callq  27d0 <dcgettext@plt>
    5ebf:	be 01 00 00 00       	mov    $0x1,%esi
    5ec4:	48 89 ef             	mov    %rbp,%rdi
    5ec7:	48 89 c2             	mov    %rax,%rdx
    5eca:	31 c0                	xor    %eax,%eax
    5ecc:	e8 ef cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5ed1:	31 ff                	xor    %edi,%edi
    5ed3:	ba 05 00 00 00       	mov    $0x5,%edx
    5ed8:	48 8d 35 41 6a 00 00 	lea    0x6a41(%rip),%rsi        # c920 <bfd_seek@plt+0x9cf0>
    5edf:	e8 ec c8 ff ff       	callq  27d0 <dcgettext@plt>
    5ee4:	be 01 00 00 00       	mov    $0x1,%esi
    5ee9:	48 89 ef             	mov    %rbp,%rdi
    5eec:	48 89 c2             	mov    %rax,%rdx
    5eef:	31 c0                	xor    %eax,%eax
    5ef1:	e8 ca cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5ef6:	31 ff                	xor    %edi,%edi
    5ef8:	ba 05 00 00 00       	mov    $0x5,%edx
    5efd:	48 8d 35 db 61 00 00 	lea    0x61db(%rip),%rsi        # c0df <bfd_seek@plt+0x94af>
    5f04:	e8 c7 c8 ff ff       	callq  27d0 <dcgettext@plt>
    5f09:	be 01 00 00 00       	mov    $0x1,%esi
    5f0e:	48 89 ef             	mov    %rbp,%rdi
    5f11:	48 89 c2             	mov    %rax,%rdx
    5f14:	31 c0                	xor    %eax,%eax
    5f16:	e8 a5 cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5f1b:	31 ff                	xor    %edi,%edi
    5f1d:	ba 05 00 00 00       	mov    $0x5,%edx
    5f22:	48 8d 35 4f 6a 00 00 	lea    0x6a4f(%rip),%rsi        # c978 <bfd_seek@plt+0x9d48>
    5f29:	e8 a2 c8 ff ff       	callq  27d0 <dcgettext@plt>
    5f2e:	be 01 00 00 00       	mov    $0x1,%esi
    5f33:	48 89 ef             	mov    %rbp,%rdi
    5f36:	48 89 c2             	mov    %rax,%rdx
    5f39:	31 c0                	xor    %eax,%eax
    5f3b:	e8 80 cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5f40:	31 ff                	xor    %edi,%edi
    5f42:	ba 05 00 00 00       	mov    $0x5,%edx
    5f47:	48 8d 35 6a 6a 00 00 	lea    0x6a6a(%rip),%rsi        # c9b8 <bfd_seek@plt+0x9d88>
    5f4e:	e8 7d c8 ff ff       	callq  27d0 <dcgettext@plt>
    5f53:	be 01 00 00 00       	mov    $0x1,%esi
    5f58:	48 89 ef             	mov    %rbp,%rdi
    5f5b:	48 89 c2             	mov    %rax,%rdx
    5f5e:	31 c0                	xor    %eax,%eax
    5f60:	e8 5b cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5f65:	31 ff                	xor    %edi,%edi
    5f67:	ba 05 00 00 00       	mov    $0x5,%edx
    5f6c:	48 8d 35 7d 6a 00 00 	lea    0x6a7d(%rip),%rsi        # c9f0 <bfd_seek@plt+0x9dc0>
    5f73:	e8 58 c8 ff ff       	callq  27d0 <dcgettext@plt>
    5f78:	be 01 00 00 00       	mov    $0x1,%esi
    5f7d:	48 89 ef             	mov    %rbp,%rdi
    5f80:	48 89 c2             	mov    %rax,%rdx
    5f83:	31 c0                	xor    %eax,%eax
    5f85:	e8 36 cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5f8a:	31 ff                	xor    %edi,%edi
    5f8c:	ba 05 00 00 00       	mov    $0x5,%edx
    5f91:	48 8d 35 88 6a 00 00 	lea    0x6a88(%rip),%rsi        # ca20 <bfd_seek@plt+0x9df0>
    5f98:	e8 33 c8 ff ff       	callq  27d0 <dcgettext@plt>
    5f9d:	be 01 00 00 00       	mov    $0x1,%esi
    5fa2:	48 89 ef             	mov    %rbp,%rdi
    5fa5:	48 89 c2             	mov    %rax,%rdx
    5fa8:	31 c0                	xor    %eax,%eax
    5faa:	e8 11 cc ff ff       	callq  2bc0 <__fprintf_chk@plt>
    5faf:	31 ff                	xor    %edi,%edi
    5fb1:	ba 05 00 00 00       	mov    $0x5,%edx
    5fb6:	48 8d 35 37 61 00 00 	lea    0x6137(%rip),%rsi        # c0f4 <bfd_seek@plt+0x94c4>
    5fbd:	e8 0e c8 ff ff       	callq  27d0 <dcgettext@plt>
